"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-01 ~ 2025-04-30"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"35","경기도 성남시 수정구 태평동","9**","단독","8m미만","102.75","64.10","202504","30","38,500","개인","개인","1986","탄리로146번길","-","중개거래","경기 성남시 수정구"
"36","인천광역시 서구 원당동","8**","다가구","12m미만","216.06","129.50","202504","30","63,000","개인","개인","2017","고산후로161번길","-","중개거래","인천 서구"
"37","경상남도 창원시 마산회원구 양덕동","9*","단독","12m미만","145.23","129.10","202504","30","27,000","개인","개인","1976","양덕북16길","-","직거래","-"
"38","경기도 광주시 남한산성면 엄미리","1**","단독","8m미만","220.65","312.00","202504","30","41,000","개인","개인","1996","회안대로","-","중개거래","경기 광주시"
"39","전라남도 나주시 삼영동","1**","단독","12m미만","87.35","197.80","202504","30","7,200","개인","개인","1990","삼영2길","-","중개거래","전남 나주시"
"40","대구광역시 달서구 송현동","5**","다가구","8m미만","160.04","165.00","202504","30","26,500","개인","개인","1986","송현로30길","-","중개거래","대구 달서구"
"41","경기도 여주시 가남읍 연대리","4*","단독","8m미만","88.00","488.00","202504","30","10,000","개인","개인","2016","연삼로","-","직거래","-"
"42","강원특별자치도 원주시 문막읍 건등리","2**","다가구","8m미만","493.11","269.00","202504","30","88,000","개인","개인","2019","왕건로","-","중개거래","강원 원주시"
"43","대전광역시 유성구 구암동","3**","단독","8m미만","93.65","420.00","202504","30","55,880","개인","개인","1900","박산로","-","중개거래","대전 서구, 충북 청주시 흥덕구"
"44","경기도 화성시 산척동","8**","다가구","12m미만","437.72","285.80","202504","30","184,000","개인","개인","2022","동탄순환대로14길","-","직거래","-"
"45","경기도 성남시 수정구 태평동","6***","다가구","8m미만","98.40","59.20","202504","30","48,000","개인","개인","1988","수정북로11번길","-","중개거래","경기 성남시 수정구"
"46","충청북도 영동군 영동읍 주곡리","5*","단독","8m미만","143.01","456.00","202504","30","24,300","개인","개인","2009","조현길","-","중개거래","대전 유성구"
"47","부산광역시 사하구 감천동","*","단독","8m미만","38.31","40.00","202504","30","2,900","개인","개인","1985","감내1로197번길","-","직거래","-"
