video_id,comment_id,author,text,like_count,published_at
HAZbN8RD_wQ,UgxudXFvZVnRuSgH8Nl4AaABAg,@jhlee853,뒤늦게 봤는대 재밌네요 ㅋㅋㄹㅋ,0,2023-08-23T08:35:49Z
HAZbN8RD_wQ,Ugz6KRsgD8MREJJUae14AaABAg,@michcoco,4:31,3,2023-08-17T07:04:33Z
HAZbN8RD_wQ,UgxLonMkhEYN0rR0UN54AaABAg,@두리냥-s2n,41살 넘어서도 현역하는게 스포츠..,2,2023-08-16T12:33:23Z
HAZbN8RD_wQ,Ugxrwbb-_3IaadUO85Z4AaABAg,@냥냥-m9p,04:07 개귀엽다 ㅜㅜ,2,2023-07-08T15:18:24Z
HAZbN8RD_wQ,Ugxp9SOjbQdCLUIS5HV4AaABAg,@monkeymasic,저 날 내 생일인데,1,2023-06-04T13:00:22Z
HAZbN8RD_wQ,UgyyjTbns-e2sj5s0Ul4AaABAg,@응원할게-j6r,"김강민이 쩐다~쩐다~ 할때
왜이렇게 한물지난 신조어 어설프게 따라하는 아재같냐..",18,2023-05-06T07:25:29Z
HAZbN8RD_wQ,Ugx_UDyHEmrwdTRKep54AaABAg,@woonbumyeo5312,ㅋㅋㅋㅋ 지금 또 봅니다,3,2023-04-14T08:10:06Z
HAZbN8RD_wQ,UgycBCdi5O9jDWwZWvl4AaABAg,@슈자크,00:15 ㅋㅋㅋ,3,2023-04-04T22:56:21Z
HAZbN8RD_wQ,Ugw59x_YBDNpxgodCll4AaABAg,@이호열-d6o,형님 최강야구로 얼른 오시죠 ㅋㅋ 의윤이형이 기다리고계십니다,3,2023-03-29T21:26:04Z
HAZbN8RD_wQ,UgwQhjJiT_Npcg7oR4x4AaABAg,@tmddkqo5260,여기서 내 머리를 때릴만한 군번이 없는데..?,0,2022-11-29T23:26:55Z
HAZbN8RD_wQ,UgzFrt-_tB2bZqYwyZN4AaABAg,@하야-t1m,"카메라가 살렸넹 ㅋㅋㅋㅋㅋㅋ
🤪😜😝🤪😜😝🤪😜😝",2,2022-11-16T21:19:11Z
HAZbN8RD_wQ,UgxLmg4Zh0jLJFRUzFp4AaABAg,@freesia4597,"이건 지금봐도 재밌네 ㅋㅋㅋㅋ 젤 놀란게 정의윤임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 표정이 ""시밬 줫댔다 이거 어떡하지?"" ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",167,2022-11-08T06:35:33Z
HAZbN8RD_wQ,Ugx5frgRRSOl0PQyKAB4AaABAg,@퀸미라클,22년 한국시리즈 5차전 끝내기홈런 보고 강민이형 보고싶어서 온사람 손!!✋🏻,32,2022-11-08T05:21:18Z
