"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-06-01 ~ 2024-06-30"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","대전광역시 서구 변동","67-6","0067","0006","성진아트빌가동","49.2600","40.3500","202406","30","17,500","2","개인","개인","2002","변정6길 108","-","중개거래","대전 서구","24.09.30"
"2","서울특별시 양천구 신월동","104-28","0104","0028","미다움","41.5700","29.5900","202406","30","36,900","5","개인","법인","2022","월정로 189","-","직거래","-","24.07.19"
"3","인천광역시 동구 만석동","21-73","0021","0073","중앙그린빌라C동","41.7000","14.3200","202406","30","5,000","2","개인","개인","1994","화도진로 135-1","-","중개거래","인천 동구","24.07.19"
"4","경기도 부천시 오정구 고강동","575-1","0575","0001","아산탑스빌","35.2600","19.9836","202406","30","8,700","5","개인","개인","2001","지양로176번길 29","-","중개거래","경기 부천시오정구","24.08.05"
"5","서울특별시 도봉구 쌍문동","503-57","0503","0057","은행주택(202동)","43.6900","25.0100","202406","30","29,000","4","개인","개인","2017","삼양로 574-16","-","중개거래","서울 강북구","24.08.16"
"6","인천광역시 미추홀구 주안동","395-15","0395","0015","성두2동","38.4000","19.5600","202406","30","7,500","4","개인","개인","1992","주안로47번길 10-10","20240806","중개거래","인천 부평구","-"
"7","인천광역시 미추홀구 주안동","395-15","0395","0015","성두2동","38.4000","19.5600","202406","30","7,500","4","개인","개인","1992","주안로47번길 10-10","-","중개거래","인천 부평구","24.08.14"
"8","경기도 성남시 분당구 분당동","50","0050","0000","청구빌라","164.8100","224.1900","202406","30","125,000","4","개인","개인","1995","예원로 11","-","중개거래","경기 성남시 분당구","24.11.01"
"9","서울특별시 성동구 응봉동","193-89","0193","0089","진우빌라","23.6800","12.8400","202406","30","80,000","4","개인","개인","1992","독서당로62가길 18","-","중개거래","서울 동대문구, 서울 성동구","24.07.29"
"10","인천광역시 연수구 선학동","398-3","0398","0003","우미마을(다,라)동","59.9500","638.4000","202406","30","7,650","-1","개인","개인","1995","경원대로483번길 44","-","중개거래","인천 연수구","24.07.01"
"11","경기도 부천시 원미구 원미동","90-5","0090","0005","명안아트5차","49.6000","27.1160","202406","30","14,500","1","개인","개인","2003","조마루로386번길 55","-","중개거래","경기 부천시 원미구","24.09.02"
"12","인천광역시 남동구 구월동","1152-6","1152","0006","삼성그린맨션(2동)","59.9700","48.7000","202406","30","13,300","2","개인","개인","1997","인주대로604번길 49-29","20240830","중개거래","인천 남동구","-"
"13","경기도 의정부시 신곡동","119-9","0119","0009","LUX빌리지","62.4740","42.5000","202406","30","24,000","2","개인","개인","2020","추동로108번길 36-6","20240726","직거래","-","-"
"14","인천광역시 남동구 남촌동","360","0360","0000","장미빌라(8동)","36.2900","24.9000","202406","30","6,850","3","개인","개인","1991","남촌동로26번길 8-2","-","중개거래","인천 남동구","24.07.23"
"15","경기도 의정부시 신곡동","119-9","0119","0009","LUX빌리지","62.4740","42.5000","202406","30","24,000","2","개인","개인","2020","추동로108번길 36-6","-","직거래","-","24.08.09"
"16","인천광역시 남동구 서창동","547-5","0547","0005","광백드림빌(547-5)","52.9200","40.3073","202406","30","19,800","4","개인","개인","2019","장아산로 134-8","-","중개거래","인천 남동구","24.08.27"
"17","서울특별시 서대문구 충정로3가","3-38","0003","0038","충정로주택","41.9600","26.1500","202406","30","73,750","4","개인","개인","2001","경기대로5길 26","-","중개거래","서울 서대문구","24.08.30"
"18","서울특별시 강북구 우이동","73-23","0073","0023","샤인빌","83.7900","32.1130","202406","30","31,500","2","개인","개인","2000","삼양로139가길 43","-","중개거래","서울 강북구","24.08.20"
"19","충청남도 태안군 태안읍 남문리","463-12","0463","0012","태화(463-12)","76.6100","60.0000","202406","30","6,000","4","개인","개인","1993","능샘3길 22","-","중개거래","충남 태안군","24.10.14"
"20","서울특별시 마포구 동교동","185-7","0185","0007","더라움","36.1500","16.7530","202406","30","47,500","5","개인","개인","2018","신촌로10길 9","-","중개거래","서울 마포구","24.08.23"
"21","경기도 양평군 양서면 용담리","154-11","0154","0011","별빛정원101동","44.6200","67.2500","202406","30","13,200","3","개인","개인","2014","용늪언덕길 16-1","-","중개거래","경기 양평군","24.09.30"
"22","경기도 포천시 군내면 직두리","576-1","0576","0001","명인빌라(가동나동)","84.8600","101.2400","202406","30","8,300","2","개인","개인","2001","청군로 3122","-","직거래","-","24.07.16"
"23","경상북도 포항시 남구 효자동","625","0625","0000","테라비아타인지곡","84.7806","110.6564","202406","30","86,000","5","개인","개인","2017","효자로 62","-","중개거래","경북 포항시 남구","25.02.27"
"24","경기도 포천시 선단동","468-4","0468","0004","삼익빌라트3동","63.0000","56.0200","202406","30","6,200","3","개인","개인","1999","호국로 985-25","-","중개거래","경기 포천시","24.08.09"
"25","경기도 포천시 어룡동","309-1","0309","0001","Aileen","74.5000","111.6490","202406","30","33,900","1","개인","개인","2022","어룡길 24-26","-","직거래","-","24.07.22"
"26","서울특별시 강서구 화곡동","400-12","0400","0012","우성B","75.6000","29.8600","202406","30","27,800","3","개인","개인","2001","강서로29길 23","-","중개거래","서울 강서구","24.09.20"
