word,count
똥배,2
소식,2
키워,2
등록,2
고통,2
출산,2
이상,2
존중,2
모른다니,2
직구,2
올라올,2
편하,2
패스트볼,2
상상,2
이래서,2
치맥,2
대은,2
장군,2
초반,2
바랍니다,2
불타,2
끝낼,2
발휘,2
서도,2
느끼,2
생겼어요,2
들리,2
자이언츠,2
해놨,2
효과,2
다라,2
놀래,2
출루율,2
고추,2
운전,2
맥주,2
바래,2
갈께,2
극단,2
살찐,2
빠질,2
고교,2
지으,2
나온,2
따구,2
레드,2
도중,2
기본기,2
실수,2
겁난다,2
퇴출,2
풀스,2
덕분,2
정용진,2
내기,2
차전,2
내성,2
대하,2
고참,2
지났,2
쓰레기,2
액땜,2
너야,2
개정,2
야구팬,2
조사,2
컨디션,2
케어,2
LCK,2
우동수,2
벨류,2
꼬라지,2
들린다,2
싸였,2
경력,2
한방,2
이재,2
위험,2
저렇,2
유사,2
이쁨,2
가요,2
도움,2
조타,2
국가,2
LETTER,2
CAP,2
좋아할,2
ROCKING,2
INCHOEN,2
FROM,2
ME,2
구삼,2
배꼽,2
EXPLAIN,2
매수,2
경찰,2
페랑,2
에이스,2
호미,2
지그,2
면제,2
병역,2
전설,2
강행,2
그때,2
트레이드,2
마감,2
마법,2
TV,2
꼴찌,2
연습,2
전력,2
올라오,2
누가,2
폐시,2
혈액,2
이진영,2
얄밉,2
들렀,2
아줌마,2
순환,2
어울린다,2
한국말,2
찍히,2
조합,2
화질,2
습관,2
클라스,2
박경완,2
김원형,2
살아요,2
계실,2
만수,2
중인,2
삽질,2
군기,2
CHOO,2
엄청난,2
GO,2
강백호,2
리더,2
연속,2
느려서,2
패기,2
다크,2
응기,2
못치,2
맥아더,2
돌리,2
끝나,2
코로나,2
실세,2
굴려야,2
종신,2
나머지,2
해라,2
SOMEBODY,2
웃긴,2
물려,2
LEGEND,2
개인,2
노젓,2
표준말,2
직업,2
휘두르,2
지나,2
으쓱대,2
신생,2
통수,2
문장,2
누르,2
추형,2
깨알,2
세심,2
봐라,2
건강,2
커트앵글,2
막힐,2
말문,2
바라,2
모두,2
중독,2
골수팬,2
덩치,2
공형진,2
겉멋,2
헤어밴드,2
치켜세우,2
랭귀지,2
바디,2
심호,2
센스,2
자랑,2
우즈,2
시청,2
가리키,2
놀리,2
전자,2
PULL,2
요한,2
예쁜,2
쳐도,2
울렁증,2
여유,2
입성,2
조져,2
싸가,2
유니폼,2
군데,2
비타스,2
혼동,2
쳐서,2
경신,2
가을,2
추선,2
요번,2
스타,2
랭킹,2
활성,2
반갑,2
득점,2
선수단,2
관심,2
버퍼링,2
초장,2
주장,2
초청,2
GET,2
물씨,2
주인공,2
용기,2
지킬,2
과추,2
역시,2
몰라서,2
맥없,2
비춰,2
부산,2
이젠,2
FULL,2
오라,2
연구,2
HAIRCUT,2
한마디,2
키스톤,2
타임,2
특징,2
아네,2
지명,2
민지,2
지분,2
우주,2
탈출,2
그땐,2
싸가지,2
주먹,2
구성,2
열받,2
위축,2
직감,2
앞치마,2
대도,2
일반인,2
어필,2
걷어올렸,2
라이브,2
대답,2
이길,2
수고,2
