playlist_id,playlist_title,published_at,item_count,video_ids,playlist_label
PL8_8tSGm7y1CDIIwR5hGk0g-siZc2u4Cw,랜더스 내고향,2024-01-09T09:00:04.451244Z,3,"29OrHzWipXk, _AoJ9m7rfGg, pguv6z0qImA",playlist_11
PL8_8tSGm7y1Biu42hODAd7u2eqQOKC4T1,은근-쓱적 쓱튜브,2023-08-01T06:48:23.311583Z,9,"hpDacttRURc, jXP32wFpvCc, lgFdfjm3LCY, tMaGrURTU6c, F3z_jeYhfNY, eoF1408T7uw, tcnV1z1eJXU, y4mnB3gCB9g, Fd6kRCLjFRc",playlist_12
PL8_8tSGm7y1CghB_HR2D2ZEIWo4j4ZhFv,돌아온 쓱샤를 합시다,2023-07-25T05:30:15.152438Z,9,"hXXucfzz6bg, imrUHGw4I2o, 7479tjyquGU, PIKJ49hCMW4, Tjg-UqeL3h8, iG4UAIMcquI, yAnF291e9W8, hZG6KlnloZo, FXri35rgMpU",playlist_13
PL8_8tSGm7y1AuhxEBcNlYiWJDdydox7CV,2023☆ALL-STAR☆LANDERS,2023-07-25T05:24:59.541289Z,7,"eXBOi39rIuU, 9IBtCQonLAU, GgbNUmWFJq8, R3t8aQOg2BE, mjHsJCs6qyE, W-z7u2by3FM, 16FKN7sW4PE",playlist_14
PL8_8tSGm7y1C91JHgiA2dJG5wqyE_tPVg,쓱페셜_PLAYER✨,2023-05-08T05:21:26.928304Z,14,"7UILP4Bua2M, n9CX7sXwhm0, 1Ouu951UjQU, VnCSnZflXMw, ojJ43ZNbns8, tHB2Ul5l61k, LdWPQJE-vCA, DF--qTVjwXs, UVGEP1XrB30, VeZab-Ncbuo, 4TBZBcfBFCk, eaW3sMcLPzA, 4QRImoZ2Umo, 8GulECi_ybg",playlist_15
PL8_8tSGm7y1DB8xKkgQxcm1jfXWJmwxzY,2023 랜필 에피소드,2023-04-03T09:18:45.091208Z,56,"kVhBg3zBck8, pkUJFb3lGy8, xpLm-n8hNjU, 3C88hVGWTvI, oXtVwthO4Ms, w08tP21HdE8, FQZNTgpzuV4, -obnMA3XNIc, xCDFA0Q1D14, u9sbOb8U-FA, BbATByWIQy4, ZLwv8kifxbE, pUa3xqJ_rWw, WT-kT_hpBVg, y4mnB3gCB9g, ZHptXsNOT7c, dYz18rvBob8, J8_qe043GJk, tcnV1z1eJXU, BVmmYcewV-M, eoF1408T7uw, eMHonvy4-5g, tMaGrURTU6c, JW-GrOmCNnk, ecs4uwtY9Lg, 16FKN7sW4PE, 2L8k0vtz058, Ha6sW6kme-g, yPrg19zESXM, 37DtC4dbI6Q, B0l6fmo55NI, _JA-nI2SqfM, jXP32wFpvCc, wO8e_O9i-6Y, EOdBGjkaCbk, mpeCW8J2m-Q, 5VgT29airIU, W6Y_CVOeyIc, 8hEZmYGCLTM, pA8rbnV0DDE, 5GaLB5mf670, yl8iGewJiXk, URG261M1ido, BNSg7y4pyOM, k2zz-Db3bO4, kb7YJ1yXAFM, cCh_ztTKpX8, Pc6PCWrp-CE, 6-P0P2aWI2w, uw08R1BhFA4, Zkf6t2kLe40, NdL-QvygT3I, xcPrPYLIFWo, 8OKeKec3UVU, 6FBPjDoKGkU, -CyJwTo62TU",playlist_16
PL8_8tSGm7y1DGqU7HZx0ogiJdAgGq_1Cu,2023 승리의 쓱케치,2023-04-01T12:49:50.253522Z,37,"QZr2XsVj4fk, kMm3Wlaxk0c, Rkt0GcMArK0, jozO8BxsU1o, yVyZcdRMBRg, jCN3WnSt9s4, Y5U6zQhUbZI, iHgsiAxGiZQ, PKtCmw92_M8, 9rgD-TfFWt8, ILbCAWTpeq0, A2zDPTgMm-I, zPzqWMoSRIU, pZoP_L3mPWk, DXNL-L_8jRk, DrrC9mU-atE, nOLhHABVVR4, hpHWZZ4oUEg, S6o9j101mqI, fKvCln-0-Ig, kT5Cb44pMBY, WxCc8hlrj0M, ZJE-50maZ40, D4X5bNkaEA0, kjE-CQxX0-w, KfMvVH2b8JY, RJ606RpJ8qs, Kstp8S0-HF4, EmY95HLARW4, 9shVtahxGYk, eOuNsMeUM1Q, ydeQqhOOykQ, THmyDYxuLvw, Dlder2qFFDM, xPShrO8rroI, sDYj0WgbLxc, VYkBXG8aIGc",playlist_17
PL8_8tSGm7y1BZy-8b7KxDf3VkzHl4w5ci,랜더스 방털기(아니고 토크쇼),2023-03-10T07:18:56.953525Z,16,"5jx0c-humJE, 6_w3o3yKykY, aaScHRKzPbo, EHqKyDj-zHs, bmF1dkPazu8, fzdTQxLhBFg, PiyOCQLtYTE, hS-Uje0dIHo, 3s8XbnAzcks, fB7MPLslx74, 0ZCPU5l1IuE, 4TOGswtINEY, Ne3jTvAK_2E, rvHKg0phDEA, BATVSq8iVAo, sPgRA2ZLmyE",playlist_18
PL8_8tSGm7y1ASMd23HIa0eBahfea_xgMe,2023 스프링캠프,2023-02-02T06:26:28.000426Z,33,"Gyn1yW8oeWI, lBK1XOypm-Y, BYW4kzn4FC0, VY6Y49h9Sr8, q-82Ayqafdg, v5Hkwg-LFO4, Qsxg1uyYMrk, Uq-LQbn4OO8, 9vEf9uvYNDg, lloJGW5fDJM, 0EQNQGGS-aE, mVJY08uVEKI, qYx2vs_wU3E, WQ1QKH6fpcE, isC1aF-gE_w, iYa4kgGwMD4, JWHMpazwmQo, munoVav7Sz0, GfxDb4LBHYc, aaScHRKzPbo, qXEhyQhnH8M, 5jx0c-humJE, ExEz8kFWaB8, urEPwXU_Nc0, Jjr2xWTAAM8, PQF-DJy6P_w, loEGaledR44, 6_w3o3yKykY, 0ZCPU5l1IuE, sEV6RkYVr9s, c7eEO1xSma8, RA2YUCCS5DA, Rc0a4EiI4iA",playlist_19
PL8_8tSGm7y1AJvYQ3Et-3I1cPWw7zebMO,2022 랜더스 OFF-SEASON,2022-11-27T05:15:55.103547Z,15,"7-RgQ9bj41c, a2HkiziD1AM, 4DWL-q-mDWA, ZRGsyr_gvYg, -7-8S_bfd9o, POJlA9ImDQ0, GC0jEDiXuCw, oHxs2U07P3Y, 0G-Uvrm73eY, zy51av934ok, qYcG7cu3gj0, rcimQSELI7Y, JBY3QhbKehc, VAbhUlrYYGg, X0Z3Tn9aBBU",playlist_20
